index,text_gt,text_gt_wo_char
29447,Lex opens the box.,He opens the box.
29448,Present day.,Present day.
29449,A screen displays an image of Lex's brain.,A screen displays an image of his brain.
29450,His eyes open.,His eyes open.
29451,Lex gets in his car and drives off.,He gets in his car and drives off.
29453,Lionel sits at his desk and talks to Clark Standing.,He sits at his desk and talks to him.
29455,Lionel's face drops.,His face drops.
29457,Lionel grabs a remote and gets up.,He grabs a remote and gets up.
29459,Lionel walks past Clark.,He walks past him.
29460,Lionel looks over his shoulder.,He looks over his shoulder.
29461,Lionel points the remote control at a television set.,He points the remote control at a television set.
29462,Clark's eyes are riveted to the looping bell rev CCTV footage.,His eyes are riveted to the looping bell rev CCTV footage.
29463,Lionel enters Lex's study.,He enters his study.
29464,Lex climbs down the stairs.,He climbs down the stairs.
29465,Lex nods and walks over to the bar.,He nods and walks over to the bar.
29468,The entire room goes dark.,The entire room goes dark.
29469,Lex closes his eyes.,He closes his eyes.
29470,He drops his glass.,He drops his glass.
29471,A teacup shatters on a wooden floor.,A teacup shatters on a wooden floor.
29473,A woman with long black hair sits on the floor and begins to pick up the pieces.,She sits on the floor and begins to pick up the pieces.
29476,Mary passes the baby to Lionel.,She passes the baby to him.
29477,Lillian takes the baby.,She takes the baby.
29478,She walks to the window with Julian.,She walks to the window with him.
29479,Lionel glances at the door and sees Lex peeking inside.,He glances at the door and sees him peeking inside.
29481,Lionel opens the door.,He opens the door.
29482,Lex runs to Lillian now sitting in a chair with Julian.,He runs to her now sitting in a chair with him.
29484,The room goes dark once again.,The room goes dark once again.
29485,Multicolored lights shine on Lex's face.,Multicolored lights shine on his face.
29486,Lionel enters the room behind him.,He enters the room behind him.
29487,Lionel watches Lex from the doorway.,He watches him from the doorway.
29488,Lex turns to Lionel.,He turns to him.
29489,He turns glaring at Lex.,He turns glaring at her.
29490,He punches him in the face.,He punches him in the face.
29491,Lex falls to the floor.,He falls to the floor.
29493,Lex on the floor.,He is on the floor.
29494,Lex gets up.,He gets up.
29495,He walks to the bar and grabs a bottle of water.,He walks to the bar and grabs a bottle of water.
29497,Lionel grabs his neck.,He grabs his neck.
29498,Lex slaps his hand away.,He slaps his hand away.
29500,Martha talks on the phone in the kitchen as Clark enters.,She talks on the phone in the kitchen as he enters.
29503,Lionel glances at Clark.,He glances at him.
29504,Clark looks away as Martha turns to him.,He looks away as she turns to him.
29506,Lionel glances at both of them.,He glances at both of them.
29507,Lionel stops her as she leaves.,He stops her as she leaves.
29508,Lionel grabs an apple from the counter.,He grabs an apple from the counter.
29511,A man behind Clark knocks him out at Dr. Garner's signal.,A man behind him knocks him out at his signal.
29513,Clark is placed on a steel operating table.,He is placed on a steel operating table.
29514,They remove his jacket.,They remove his jacket.
29515,Two lab technicians hold him still.,Two lab technicians hold him still.
29516,One unbuckles Clark's belt and pulls it off his jeans while another cuts Clark's shirt with a pair of scissors.,One unbuckles his belt and pulls it off his jeans while another cuts his shirt with a pair of scissors.
29519,Dr. Garner on the phone.,He is on the phone.
29520,Meanwhile at Luther Corp.,Meanwhile at Luther Corp.
29521,Doctor Garner grins.,He grins.
29522,Clark is strapped to the gurney wearing only shorts.,He is strapped to the gurney wearing only shorts.
29524,Wires are connected to his chest and forehead.,Wires are connected to his chest and forehead.
29526,One technician nods to another holding a remote control.,One technician nods to another holding a remote control.
29527,The gurney is lifted into the air above the water tank.,The gurney is lifted into the air above the water tank.
29529,Lionel and Doctor Garner watch from below.,They watch from below.
29530,He goes to the front desk and talks to the receptionist.,He goes to the front desk and talks to her.
29532,He walks away from the desk and dials a number on his cell phone.,He walks away from the desk and dials a number on his cell phone.
29534,Lionel checks the caller ID and answers.,He checks the caller ID and answers.
29537,Lex hangs up.,He hangs up.
29538,Lionel leaves.,He leaves.
29539,Dr. Garner to the technicians.,He to them.
29540,The technicians lower the gurney into the water.,They lower the gurney into the water.
29542,Clark's body begins to shake on contact with the water.,His body begins to shake on contact with the water.
29544,Dr. Garner at the controls puts on headphones.,He at the controls puts on headphones.
29546,They hold hands over the baby.,They hold hands over the baby.
29547,The octagonal key disappears as she presses it.,The octagonal key disappears as she presses it.
29549,Lara and Jor-El hold hands as illuminated symbols rotate inside the escape pod.,They hold hands as illuminated symbols rotate inside the escape pod.
29551,It closes around the baby.,It closes around her.
29552,At the front desk.,At the front desk.
29553,Meanwhile... Dr. Garner removes his headphones as the machines around him begin to spark.,Meanwhile... he removes his headphones as the machines around him begin to spark.
29555,The tremors are felt at the front desk.,The tremors are felt at the front desk.
29556,Lex walks down the hallway.,He walks down the hallway.
29557,He spots an unconscious technician on the floor and checks his neck for a pulse.,He spots an unconscious him on the floor and checks his neck for a pulse.
29559,Lex proceeds dodging a hanging neon light.,He proceeds dodging a hanging neon light.
29560,He arrives at the water tank.,He arrives at the water tank.
29561,He leans over and sees Clark.,He leans over and sees him.
29563,He spots a pipe on the ground and hits the side of the tank.,He spots a pipe on the ground and hits the side of the tank.
29565,Lex looks at Clark as green water spills onto the floor.,He looks at him as green water spills onto the floor.
29568,Clark regains consciousness and turns his head towards Lex.,He regains consciousness and turns his head towards him.
29571,Lex turns around and walks down the stairs.,He turns around and walks down the stairs.
29573,Lex stops without turning around.,He stops without turning around.
29574,Lex continues down the stairs then stops when he reaches the landing.,He continues down the stairs then stops when he reaches the landing.
29576,The barn suddenly goes dark around him.,The barn suddenly goes dark around him.
29577,Lex puts the tray down and runs down the hall to Julian's room.,He puts the tray down and runs down the hall to his room.
29579,Lillian in her nightgown leans over the crib.,She leans over the crib.
29580,She turns around dropping a pillow from her hands.,She turns around dropping a pillow from her hands.
29582,Lex looks at the pillow then at his mother as he steps forward.,He looks at the pillow then at her as he steps forward.
29585,Lex runs over to the crib and looks inside.,He runs over to the crib and looks inside.
29587,He shakes his head then looks back at his mother.,He shakes his head then looks back at her.
29589,She kisses him on the forehead.,She kisses him on the forehead.
29590,"She holds his face, nodding, and staggers out of the room.","She holds his face, nodding, and staggers out of the room."
29593,Lex looks down at the crib and the motionless baby inside.,He looks down at the crib and the motionless baby inside.
29595,"Back in the present, Lex stands on the landing of the loft stairs.","Back in the present, he stands on the landing of the loft stairs."
29597,Lionel walks to the bar.,He walks to the bar.
29598,Lex gets up and walks away.,He gets up and walks away.
29600,He turns around as Lionel picks up the newspaper.,He turns around as he picks up the newspaper.
29603,Lex walks slowly towards Lionel.,He walks slowly towards him.
29606,Lionel steps away from Lex grabbing his coat.,He steps away from him grabbing his coat.
29608,He then drops it on the chair.,He drops it on the chair.
29611,Lionel's mouth hangs open and his lower lip begins to tremble as his eyes fill with tears.,His mouth hangs open and his lower lip begins to tremble as his eyes fill with tears.
29614,He grabs Lex by the jacket.,He grabs him by the jacket.
29615,Lionel remains standing with his feet wobbling.,He remains standing with his feet wobbling.
29617,Clark sits on the couch in the loft.,He sits on the couch in the loft.
29618,He contemplates a moving model with the planets of our solar system and the sun on the coffee table in front of him.,He contemplates a moving model with the planets of our solar system and the sun on the coffee table in front of him.
29619,Martha enters the loft and walks up the stairs.,She enters the loft and walks up the stairs.
29621,Clark looks up and turns off the model.,He looks up and turns off the model.
29623,Martha starts to leave.,She starts to leave.
29625,Clark gets up and walks over to Martha.,He gets up and walks over to her.
29628,Jeremiah smashes the artifact with the stone.,He smashes the artifact with the stone.
29630,The artifact now a dagger with a stone handle and a shiny blade sends a golden light through Jeremiah's body.,The artifact now a dagger with a stone handle and a shiny blade sends a golden light through his body.
29631,Lionel approaches.,He approaches.
29632,Jeremiah punches him in the face sending him flying a few feet away.,He punches him in the face sending him flying a few feet away.
29634,Three guards draw their weapons.,They draw their weapons.
29635,Jeremiah crouches under the hail of bullets.,He crouches under the hail of bullets.
29636,"Later, Clark opens a book.","Later, he opens a book."
29637,Pete talks on the phone as Chloe enters.,He talks on the phone as she enters.
29639,Chloe puts down her coffee cup and looks up.,She puts down her coffee cup and looks up.
29641,Pete is gone.,He is gone.
29642,Lionel gets his ribs bandaged in an examination room.,He gets his ribs bandaged in an examination room.
29645,Lex helps Lionel put on his jacket.,He helps him put on his jacket.
29647,Lionel stares at Lex's mouth open.,He stares at her mouth open.
29649,Lana stands by the bar reading a letter from the Paris School of Arts.,She stands by the bar reading a letter from the Paris School of Arts.
29650,Chloe stands in front of her.,He stands in front of her.
29652,She puts the letter in the cash register drawer.,She puts the letter in the cash register drawer.
29653,Clark walks up the stairs at Central A&M Kansas University.,He walks up the stairs at Central A&M Kansas University.
29654,"He walks down a hallway to a glass door marked Jeremiah Holdsclaw, teaching assistant.",He walks down a hallway to a glass door marked him.
29656,He enters the office to find it ransacked and Lex standing at the window.,He enters the office to find it ransacked and she standing at the window.
29659,Lex walks over to Clark.,He walks over to him.
29660,They look at the blinds.,They look at the blinds.
29661,Lutz starts to leave.,He starts to leave.
29662,Lutz leaves.,He leaves.
29663,Clark stares at the tribal symbol consisting of two circles and several intersecting lines.,He stares at the tribal symbol consisting of two circles and several intersecting lines.
29666,Lionel turns to Joseph and walks away.,He turns to him and walks away.
29668,Clark unfolds a piece of paper and shows it to Joseph.,He unfolds a piece of paper and shows it to him.
29670,He holds the blade in his hands.,He holds the blade in his hands.
29672,Jeremiah crouches down as Joseph walks forward.,He crouches down as he walks forward.
29674,Jeremiah stands up and holds the knife in the air.,He stands up and holds the knife in the air.
29676,The blade turns red as Clark shoots his heat vision.,The blade turns red as he shoots his heat vision.
29678,Jeremiah's eyes begin to glow.,His eyes begin to glow.
29679,He shoots heat vision at the truck causing it to explode.,He shoots heat vision at the truck causing it to explode.
29681,Jeremiah super speeds away.,He super speeds away.
29682,Later at the Kents.,Later at their place.
29683,Jonathan prepares tea.,He prepares tea.
29684,A woman enters with a man browsing around.,A woman enters with a man browsing around.
29686,Lana sitting at a nearby table gets up and walks over to her.,She gets up and walks over to him.
29688,Lena turns around upset.,She turns around upset.
29689,He enters a room.,He enters a room.
29690,Lana stands in the doorway gazing into the distance.,She stands in the doorway gazing into the distance.
29693,Lionel waits at the bottom of the stairs.,He waits at the bottom of the stairs.
29698,Joseph stands next to a display case.,He stands next to a display case.
29699,"Later at the loft, Clark grabs Joseph's book from his desk.","Later at the loft, he grabs his book from his desk."
29700,He checks his watch and sits down on the sofa.,He checks his watch and sits down on the sofa.
29702,He opens the book to a page with an illustration of the blade and grabs a small box from the coffee table.,He opens the book to a page with an illustration of the blade and grabs a small box from the coffee table.
29704,He stands up as Jeremiah appears before him.,He stands up as he appears before him.
29706,"Clark drops the book and opens the box, revealing a kryptonite stone.","He drops the book and opens the box, revealing a kryptonite stone."
29708,He holds the box out to Jeremiah.,He holds the box out to him.
29710,The green glow shines on Jeremiah's face.,The green glow shines on his face.
29711,He smiles and lifts the stone from the box as Clark looks on in horror.,He smiles and lifts the stone from the box as he looks on in horror.
29714,Clark super speeds for the blade as Jeremiah throws the rock across the loft.,He super speeds for the blade as he throws the rock across the loft.
29716,In slow motion.,In slow motion.
29717,Jeremiah unsheathes the blade and plunges it into Clark's chest.,He unsheathes the blade and plunges it into his chest.
29719,He shoves it in deeper and then pulls it out.,He shoves it in deeper and then pulls it out.
29721,Clark drops to the floor.,He drops to the floor.
29722,Jeremiah holds the bloody knife before Clark's face and steps away.,He holds the bloody knife before his face and steps away.
29724,He places the blade back in its sheath as he climbs down the stairs.,He places the blade back in its sheath as he climbs down the stairs.
29726,"Later, Clark stumbles into the Kent's kitchen.","Later, he stumbles into the kitchen."
29727,He reaches out for the phone.,He reaches out for the phone.
29728,"The driver's door opens and a booted foot steps out heading for Lionel's door, clutching the blade in his hand.","The driver's door opens and a booted foot steps out heading for his door, clutching the blade in his hand."
29731,Lionel looks up and sees Jeremiah through the tinted window.,He looks up and sees him through the tinted window.
29733,"Meanwhile, Chloe locks the torch office.","Meanwhile, she locks the torch office."
29734,Chloe furrows her brow as her smile fades.,She furrows her brow as her smile fades.
29736,He walks past her into the office.,He walks past her into the office.
29738,She hands him the keys.,She hands him the keys.
29739,Pete watches her walk down the hallway then goes back inside.,He watches her walk down the hallway then goes back inside.
29742,Martha and Jonathan run to Clark and kneel down beside him.,They run to him and kneel down beside him.
29744,Martha touches Clark's neck.,He touches her neck.
29745,Martha slips in a pool of blood as she walks to the kitchen.,She slips in a pool of blood as she walks to the kitchen.
29747,She glances at Jonathan.,She glances at him.
29748,Clark parts the blanket and looks at his healed chest.,He parts the blanket and looks at his healed chest.
29750,Clark stands up dropping the red blanket to the floor as he leaves.,He stands up dropping the red blanket to the floor as he leaves.
29753,Martha leans forward holding her head.,She leans forward holding her head.
29754,"Meanwhile, Jeremiah is at the clearing in the woods.","Meanwhile, he is at the clearing in the woods."
29755,Lionel lies on the altar blindfolded and with his hands tied.,He lies on the altar blindfolded and with his hands tied.
29757,His shirt is open and the tribal symbol has been painted on his chest.,His shirt is open and the tribal symbol has been painted on his chest.
29759,Jeremiah unsheathes the blade.,He unsheathes the blade.
29760,He climbs on the rock holding it over Lionel ready to strike.,He climbs on the rock holding it over him ready to strike.
29763,Clark runs into the clearing and tackles Jeremiah knocking him off the altar.,He runs into the clearing and tackles him knocking him off the altar.
29766,They both roll on the ground.,They both roll on the ground.
29767,Clark holds him back.,He holds him back.
29768,Clark headbutts him.,He headbutts him.
29769,Jeremiah lands a few feet away.,He lands a few feet away.
29770,Clark gets up and picks up the fallen log swinging it at Jeremiah.,He gets up and picks up the fallen log swinging it at him.
29773,He sends him flying across the clearing.,He sends him flying across the clearing.
29774,Lex runs to the altar and begins to untie Lionel.,He runs to the altar and begins to untie him.
29776,Clark superspeeds in as Jeremiah leaps to his feet.,He superspeeds in as he leaps to his feet.
29778,They run towards each other colliding head-on and causing a flash of golden light.,They run towards each other colliding head-on and causing a flash of golden light.
29781,The knife is thrown into the air.,The knife is thrown into the air.
29782,Clark catches Jeremiah and lets him fall slowly to the ground.,He catches him and lets him fall slowly to the ground.
29784,At the altar Lex finishes untying Lionel.,At the altar he finishes untying him.
29786,The tip of the blade sinks into the altar.,The tip of the blade sinks into the altar.
29787,Lionel rips off his blindfold and turns around.,He rips off his blindfold and turns around.
29791,Lena reads papers standing at the bar as Lex enters.,She reads papers standing at the bar as he enters.
29793,She hands him the papers.,She hands him the papers.
29794,He leans against the counter.,He leans against the counter.
29795,"Lex looks away, nodding.","He looks away, nodding."
29798,Lex remains at the bar.,He remains at the bar.
29799,Chloe enters the Torch office and turns on the desk lamp.,She enters the Torch office and turns on the desk lamp.
29801,Pete in a sleeping bag on the couch sits up.,He sits up.
29802,Pete gets up from the couch and puts on his shirt as she sits down.,He gets up from the couch and puts on his shirt as she sits down.
29805,Pete turns around.,He turns around.
29807,Pete sits on the couch next to Chloe.,He sits on the couch next to her.
29808,She looks at him and then at the floor.,She looks at him and then at the floor.
29810,"She purses her lips, nodding.","She purses her lips, nodding."
29812,"She strokes the back of his head, then pulls him into an embrace.","She strokes the back of his head, then pulls him into an embrace."
29814,She strokes his back.,She strokes his back.
29815,Clark looks at the two-headed creature from Joseph's book.,He looks at the two-headed creature from his book.
29819,Lex takes a few steps forward and gestures to the book.,He takes a few steps forward and gestures to the book.
29821,Emily's eyes open.,Her eyes open.
29822,She pushes back the covers revealing she is fully dressed.,She pushes back the covers revealing she is fully dressed.
29824,She picks up the album and walks through the two-way mirror.,She picks up the album and walks through the two-way mirror.
29826,The sign outside reads Burrito All Soon Available.,The sign outside reads it is soon available.
29827,Inside the tables and chairs are covered in white cloth and several cans of paint rest on the bar.,Inside the tables and chairs are covered in white cloth and several cans of paint rest on the bar.
29829,A man sets his cup of coffee on the bar counter.,He sets his cup of coffee on the bar counter.
29830,He turns around startled and looks at the paint can.,He turns around startled and looks at the paint can.
29832,She stares at him coldly then reaches out and plunges her hand into his chest.,She stares at him coldly then reaches out and plunges her hand into his chest.
29835,The man falls to the ground.,He falls to the ground.
29836,She looks at her hand covered in blood.,She looks at her hand covered in blood.
29838,The neon sign outside flickers and turns off.,The neon sign outside flickers and turns off.
29846,Pete snatches the ball again and tosses it from hand to hand.,He snatches the ball again and tosses it from hand to hand.
29848,"Pete stares at Clark, lost in his thoughts.","He stares at him, lost in his thoughts."
29850,Lana picks up a newspaper article taped to her locker.,He picks up a newspaper article taped to his locker.
29851,It reads Talent Theater reopens as a coffee shop.,It reads he reopens as a coffee shop.
29853,Clark walks into the hallway and spots Lana at her locker.,He walks into the hallway and spots her at her locker.
29855,He pauses before walking over to her.,He pauses before walking over to her.
29856,She looks away and stands up.,She looks away and stands up.
29860,Lena smiles at Clark.,He smiles at her.
29861,He returns the smile before walking away.,He returns the smile before walking away.
29863,Meanwhile in the observation room.,Meanwhile in the observation room.
29864,Two pictures of Emily at different ages appear on the screen.,Two pictures of her at different ages appear on the screen.
29865,"Meanwhile, Chloe and Lana enter the Talon.","Meanwhile, they enter the Talon."
29866,Lana and Chloe look up at Emily as she climbs down the stairs.,Lana and Chloe look up at Emily as she climbs down the stairs.
29868,Emily walks over to Lana.,She walks over to her.
29869,Chloe watches as Emily and Lana shake hands.,She watches as she and she shake hands.
29870,Emily smiles warmly at Lana who turns to Chloe.,She smiles warmly at her who turns to her.
29872,Chloe tilts her head smiling.,She tilts her head smiling.
29874,"Meanwhile, Martha takes several loaves of bread out of the oven.","Meanwhile, she takes several loaves of bread out of the oven."
29875,Clark enters with a grocery bag and starts unpacking.,He enters with a grocery bag and starts unpacking.
29877,Clark walks over to the refrigerator.,He walks over to the refrigerator.
29878,Martha walks over to him.,She walks over to him.
29879,Martha takes Clark's hand.,He takes her hand.
29880,Lena turns to Emily.,He turns to her.
29881,Emily turns around and runs up the stairs.,She turns around and runs up the stairs.
29883,Lana shakes her head.,She shakes her head.
29884,Mr. Dinsmore opens his mouth before falling to the ground.,He opens his mouth before falling to the ground.
29886,Emily stands behind him with her hand covered in blood.,She stands behind him with her hand covered in blood.
29887,Emily shoves Lana as she tries to run away.,She shoves her as she tries to run away.
29888,Lana slams into a table a few feet back.,She slams into a table a few feet back.
29890,Emily stands over Lana lying unconscious on the floor.,She stands over her lying unconscious on the floor.
29891,"Later, Lena lies unconscious on a large bed.","Later, she lies unconscious on a large bed."
29892,She opens her eyes and sits up looking around.,She opens her eyes and sits up looking around.
29894,Next to the bed is a nightstand and a dresser.,Next to the bed is a nightstand and a dresser.
29896,The room is enclosed in glass.,The room is enclosed in glass.
29897,A large ventilation tube hangs from one of the windows.,A large ventilation tube hangs from one of the windows.
29898,"I, uh... He adjusts his jacket.",He adjusts his jacket.
29899,He reaches out and rips open Lex's shirt revealing the microphone stuck to his chest.,He reaches out and rips open his shirt revealing the microphone stuck to his chest.
29902,Lionel turns away.,He turns away.
29903,Lionel answers.,He answers.
29904,He hangs up.,He hangs up.
29905,Evening at the loft.,Evening at the loft.
29906,Clark sits next to his telescope.,He sits next to his telescope.
29907,The coffee table is set with a tablecloth lit candles and flowers.,The coffee table is set with a tablecloth lit candles and flowers.
29910,Clark looks up as Jonathan enters knocking on the railing.,He looks up as he enters knocking on the railing.
29913,Clark looks up as Jonathan sits in the chair across from him.,He looks up as he sits in the chair across from him.
29916,Emily pours coffee at the bar.,She pours coffee at the bar.
29917,She looks up and spots Clark entering.,She looks up and spots him entering.
29919,She turns away as he heads for the bar.,She turns away as he heads for the bar.
29921,She turns around with a smile.,She turns around with a smile.
29923,He turns away and leaves.,He turns away and leaves.
29925,She watches him go.,She watches him go.
29927,Lana sits on the bed in the glass room.,She sits on the bed in the glass room.
29929,A section of the barn is open to the outside fields letting sunlight in.,A section of the barn is open to the outside fields letting sunlight in.
29931,Emily approaches with a tray of food.,She approaches with a tray of food.
29932,She enters the glass room with a childlike smile.,She enters the glass room with a childlike smile.
29934,She sits down the tray and sits.,She sits down the tray and sits.
29936,Lena sits across Emily.,He sits across her.
29937,Emily stands up.,She stands up.
29938,Emily sits back down as Lena lowers her head.,She sits back down as she lowers her head.
29940,Lena looks up.,She looks up.
29941,Lena starts to cry.,She starts to cry.
29942,Lex and Clark in the study.,They are in the study.
29943,Lex sits at his desk.,He sits at his desk.
29944,"Lutz looks away, then back at Clark.","He looks away, then back at him."
29946,Emily locks the door.,She locks the door.
29947,She starts to leave and runs into Clark.,She starts to leave and runs into him.
29949,She backs up and super speeds away running through a brick wall at the end of the alley.,She backs up and super speeds away running through a brick wall at the end of the alley.
29952,Clark follows her at super speed and touches the wall.,He follows her at super speed and touches the wall.
29954,She looks up at Lionel standing in the doorway.,She looks up at him standing in the doorway.
29956,He pulls out a photo.,He pulls out a photo.
29957,Chloe takes a closer look at Emily's picture as Lionel leaves.,She takes a closer look at her picture as he leaves.
29959,Lana stands by one of the glass panels with her back to Emily sitting on a stool drinking from a cup.,She stands by one of the glass panels with her back to him sitting on a stool drinking from a cup.
29963,Lana turns and walks over to the table.,She turns and walks over to the table.
29965,She picks up the yellow and black polka dot teapot and smiles.,She picks up the yellow and black polka dot teapot and smiles.
29967,Emily nods.,She nods.
29968,Lana leans over to pour the fake tea and slams the teapot against Emily's head.,She slams the teapot against her head.
29969,Emily falls to the floor unconscious.,She falls to the floor unconscious.
29970,Lana grabs the keys from the table and runs to the door.,She grabs the keys from the table and runs to the door.
29972,Chloe looks away.,She looks away.
29973,Chloe follows Clark as he walks over to the computer.,He follows him as he walks over to the computer.
29974,Clark types Dinsmore into the search engine and clicks go.,He types her into the search engine and clicks go.
29976,Lana is tied up on the bed.,She is tied up on the bed.
29977,Emily spews poisonous gas through a vent.,She spews poisonous gas through a vent.
29978,"Meanwhile, Clark enters the field at super speed.","Meanwhile, he enters the field at super speed."
29979,He surveys the area with his X-ray vision and spots Lana tied to the bed and the gas tank outside the enclosure.,He surveys the area with his X-ray vision and spots her tied to the bed and the gas tank outside the enclosure.
29982,He super speeds into the barn and breaks one of the window panes.,He super speeds into the barn and breaks one of the window panes.
29984,Emily watches him coldly as he bends the pipe.,She watches him coldly as he bends the pipe.
29986,Clark runs to the bed unties Lana and picks her up.,He runs to the bed unties her and picks her up.
29989,Emily rushes away.,She rushes away.
29990,Clark lays Lana down against a haystack.,He lays her down against a haystack.
29991,Chloe steps closer.,She steps closer.
29992,Chloe turns as Lex walks away.,She turns as he walks away.
29993,By day on a pier at the river.,By day on a pier at the river.
29994,"Loder, about to punch Pete, turns around.",He turns around.
29995,He throws the handcuff keys to Lex and walks away.,He throws the handcuff keys to her and walks away.
29997,Lex walks over to Pete.,He walks over to him.
29998,Pete nods as Lex begins to unlock the handcuffs.,He nods as he begins to unlock the handcuffs.
29999,Lex walks him off the pier.,He walks him off the pier.
30001,Clark stands at the window in the loft watching the sunset.,He stands at the window in the loft watching the sunset.
30005,Lena looks down.,She looks down.
30006,She looks up with a faint smile.,She looks up with a faint smile.
30008,She glances at the set table and snuffed out candles.,She glances at the set table and snuffed out candles.
30011,Clark leans in and kisses Lana gently on the cheek.,He leans in and kisses her gently on the cheek.
30013,She closes her eyes and relents to the kiss.,She closes her eyes and relents to the kiss.
30017,Lana turns and leaves the loft.,She turns and leaves the loft.
30020,He stands still in the golden light of the setting sun watching her walk away.,He stands still in the golden light of the setting sun watching her walk away.
30023,He starts the music with his remote control and waves his hand in the air to the rhythm of the music.,He starts the music with his remote control and waves his hand in the air to the rhythm of the music.
30033,Later in the living room.,Later in the living room.
30034,Martha walks in and hands Kara a cup.,She hands her a cup.
30035,Kara looks at the steaming tea and puts it on the coffee table.,She looks at the steaming tea and puts it on the coffee table.
30038,She turns to Clark as he stands up.,She turns to him as he stands up.
30040,She holds Clark's hands.,She holds his hands.
30041,Clark steps in front of Kara as Lex enters the room.,He steps in front of her as he enters the room.
30043,Kara is gone.,He is gone.
30044,Clark turns back to Lex.,He turns back to him.
30045,Clark and Lex leave the house together.,They leave the house together.
30046,Jonathan and Martha glance at each other.,They glance at each other.
30047,Jonathan sits down next to the coffee table and stares at Kara's discarded cup of tea.,He sits down next to the coffee table and stares at her discarded cup of tea.
30049,The Loft.,The Loft.
30051,Lex turns away.,He turns away.
30054,Clark looks at him with a pleading look.,He looks at him with a pleading look.
30056,Lex finally turns to Clark and steps forward.,He finally turns to him and steps forward.
30060,A prison at night.,A prison at night.
30061,Loader escorts Lionel into a cage-like cell in a large white room.,He escorts him into a cage-like cell in a large white room.
30063,Clark watches Lex drive away.,He watches him drive away.
30065,Kara stands a few feet away.,She stands a few feet away.
30066,Clark starts to walk back to the house.,He starts to walk back to the house.
30067,She grabs his arm.,She grabs his arm.
30068,Kara leads Clark until their feet leave the ground.,He leads her until their feet leave the ground.
30069,They fly into the air near the barn above the basketball hoop.,They fly into the air near the barn above the basketball hoop.
30071,Clark stares into Kara's eyes as they move away from the ground.,He stares into her eyes as they move away from the ground.
30074,Clark looks around and then into Kara's eyes.,He looks around and then into her eyes.
30076,The full moon shines brightly behind them.,The full moon shines brightly behind them.
30077,Kara places her hand on Clark's chest and smiles.,She places her hand on his chest and smiles.
30079,Clark moves away from her touch and moves past her.,He moves away from her touch and moves past her.
30081,Clark stares at the cave wall.,He stares at the cave wall.
30082,Kara brushes his face and turns his gaze toward her.,He brushes his face and turns his gaze toward her.
30084,She smiles as she pulls her hand away and takes a step back.,She smiles as she pulls her hand away and takes a step back.
30086,Lionel in an orange jumpsuit stands in his prison cell.,He stands in his prison cell.
30087,He turns around as Lex appears outside his cell.,He turns around as he appears outside his cell.
30089,Lionel stands in the middle of the cell with his hands on his waist.,He stands in the middle of the cell with his hands on his waist.
30091,A guard watches from a few feet away.,A guard watches from a few feet away.
30093,Lionel walks over and holds onto the cage.,He walks over and holds onto the cage.
30095,He places his hand on Lionel's.,He places his hand on his.
30096,Lionel grabs Lex's hand.,He grabs his hand.
30097,Lex looks into his father's eyes.,He looks into his father's eyes.
30098,Lionel's eyes fill with tears as he removes his hand from Lex's and takes a few steps back.,His eyes fill with tears as he removes his hand from his and takes a few steps back.
30100,Lex removes his hand from the cage and leaves the room.,He removes his hand from the cage and leaves the room.
30102,Kara in a white dress stares out the window.,She stares out the window.
30103,A fire burns in the fireplace.,A fire burns in the fireplace.
30105,Martha standing at the doorway watches her then walks over to Jonathan and Clark in the dining room.,She watches her then walks over to him and them in the dining room.
30108,Loader in a car outside listens.,He listens.
30109,Kara turns her head toward the window.,She turns her head toward the window.
30111,She super speeds outside.,She super speeds outside.
30112,She reaches out and grabs his neck.,She reaches out and grabs his neck.
30114,Kara smiles as Loader shifts into gear and drives away.,She smiles as it shifts into gear and drives away.
30117,The car suddenly stops.,The car suddenly stops.
30118,Kara stands in front of the car.,She stands in front of the car.
30119,Kara places both hands on the hood of the car.,He places both hands on the hood of the car.
30120,An orange blast spreads from her hands to the car.,An orange blast spreads from her hands to the car.
30122,Loader and the vehicle disappear.,He and the vehicle disappear.
30123,Kara walks back to the house.,She walks back to the house.
30124,Later outside the house by the porch.,Later outside the house by the porch.
30125,They both turn to face each other.,They both turn to face each other.
30126,Chloe at her desk at the Torch office looks up as Jonathan enters.,"At the Torch office, he looks up as he enters."
30127,She dials.,She dials.
30128,"She turns to Jonathan, waiting, arms crossed.","She turns to him, waiting, arms crossed."
30131,Chloe watches Jonathan as he leaves the office.,He watches him leave the office.
30133,Lana drives up the road to the Kent farm.,She drives up the road to the Kent farm.
30135,Clark stands outside.,He stands outside.
30136,He walks over to her as she exits her car.,He walks over to her as she exits her car.
30140,Clark turns around and sees Kara watching them from the field.,He turns around and sees her watching them from the field.
30142,She walks to her car.,She walks to her car.
30143,She smiles and gets into her car.,She smiles and gets into her car.
30145,Kara appears behind Clark as he watches Lana drive away.,He appears behind him as he watches her drive away.
30149,Clark enters the house and leans against a table in the hallway.,He enters the house and leans against a table in the hallway.
30151,He answers the door.,He answers the door.
30153,The delivery man hands him the envelope and leaves.,The delivery man hands him the envelope and leaves.
30155,Clark tears it open.,He tears it open.
30156,He holds it over his hand and shakes it.,He holds it over his hand and shakes it.
30158,A key falls out of the envelope into his hand.,A key falls out of the envelope into his hand.
